# 1-2
1	?	?	0.051	0	?
2	?	?	0.036	?	?

1	?	?	0.045	0	?
2	?	?	0.025	?	?

1	?	?	0.042	0	?
2	?	?	0.035	?	?

1	?	?	0.041	0	?
2	?	?	0.03	?	?

1	?	?	0.039	0	?
2	?	?	0.022	?	?

1	?	?	0.035	0	?
2	?	?	0.025	?	?

1	?	?	0.031	0	?
2	?	?	0.03	?	?

1	?	?	0.031	0	?
2	?	?	0.022	?	?


# 2-3
2	?	?	0.036	?	?
3	?	?	0.00	?	?

2	?	?	0.035	?	?
3	?	?	0.021	?	?

2	?	?	0.033	?	?
3	?	?	0.003	?	?

2	?	?	0.03	?	?
3	?	?	-0.005	?	?

2	?	?	0.026	?	?
3	?	?	0.018	?	?

2	?	?	0.025	?	?
3	?	?	0.001	?	?

2	?	?	0.021	?	?
3	?	?	0.000	?	?


# 3-4
3	?	?	0.021	?	?
4	?	?	-0.022	?	?

3	?	?	0.018	?	?
4	?	?	-0.04	?	?

3	?	?	0.003	?	?
4	?	?	-0.025	?	?

3	?	?	0.00	?	?
4	?	?	-0.013	?	?

3	?	?	0.00	?	?
4	?	?	-0.023	?	?

3	?	?	0.002	?	?
4	?	?	-0.031	?	?

3	?	?	-0.005	?	?
4	?	?	-0.036	?	?


# 4-5
4	?	?	-0.013	?	?
5	?	?	-0.033	?	?

4	?	?	-0.022	?	?
5	?	?	-0.036	?	?

4	?	?	-0.025	?	?
5	?	?	-0.04	?	?

4	?	?	-0.025	?	?
5	?	?	-0.043	?	?

4	?	?	-0.031	?	?
5	?	?	-0.035	?	?

4	?	?	-0.036	?	?
5	?	?	-0.035	?	?

4	?	?	-0.04	?	?
5	?	?	-0.04	?	?


# 5-6
5	?	?	-0.033	?	?
6	?	?	-0.03	?	?

5	?	?	-0.035	?	?
6	?	?	-0.031	?	?

5	?	?	-0.035	?	?
6	?	?	-0.04	?	?

5	?	?	-0.04	?	?
6	?	?	-0.023	?	?

5	?	?	-0.04	?	?
6	?	?	-0.035	?	?

5	?	?	-0.043	?	?
6	?	?	-0.031	?	?


# 6-7
6	?	?	-0.023	?	?
7	?	?	0.005	?	?

6	?	?	-0.026	?	?
7	?	?	0.01	?	?

6	?	?	-0.03	?	?
7	?	?	0.005	?	?

6	?	?	-0.03	?	?
7	?	?	-0.001	?	?

6	?	?	-0.03	?	?
7	?	?	-0.005	?	?

6	?	?	-0.033	?	?
7	?	?	0.001	?	?

6	?	?	-0.033	?	?
7	?	?	-0.005	?	?

6	?	?	-0.04	?	?
7	?	?	-0.013	?	?


# 7-8
7	?	?	0.01	?	?
8	?	?	0.033	?	?

7	?	?	0.006	?	?
8	?	?	0.033	?	?

7	?	?	0.003	?	?
8	?	?	0.033	?	?

7	?	?	0.003	?	?
8	?	?	0.023	?	?

7	?	?	0.00	?	?
8	?	?	0.028	?	?

7	?	?	-0.003	?	?
8	?	?	0.023	?	?

7	?	?	-0.006	?	?
8	?	?	0.019	?	?

7	?	?	-0.006	?	?
8	?	?	0.009	?	?

7	?	?	-0.013	?	?
8	?	?	0.00	?	?


#8-9
8	?	?	0.033	?	?
9	?	?	0.036	?	?

8	?	?	0.032	?	?
9	?	?	0.029	?	?

8	?	?	0.029	?	?
9	?	?	0.033	?	?

8	?	?	0.023	?	?
9	?	?	0.041	?	?

8	?	?	0.023	?	?
9	?	?	0.04	?	?

8	?	?	0.019	?	?
9	?	?	0.026	?	?

8	?	?	0.009	?	?
9	?	?	0.049	?	?

8	?	?	0.00	?	?
9	?	?	0.039	?	?







