31;1925-08-01;14:01;14:09;10:45;;;x;"Clear."
;;;;
14:15;28.3;28.4;28.6;28.6
13:47;14:15;
-30;-30;-30;-29;-27;-28;-29;-30;-30;-30;-29;-27;-24;-23;-21;-20;-19;
-19;-19;-18;-17;-16;-16;-14;-14;-14;-15;-16;-15;-14;-14;-14;-14;-13;
-13;-12;-11;-10;-9;-9;-10;-10;-11;-10;-10;-8;-7;-7;-8;-9;-8;
-8;-7;-5;-4;-4;-3;-3;-4;-3;-1;-1;0;0;1;1;0;1;
1;2;2;3;4;5;5;6;6;7;9;9;10;10;11;12;11;
11;13;15;16;17;19;19;19;19;19;20;21;22;22;22;23;24;a+
-13;-11;-10;-10;-9;-9;-10;-11;-11;-11;-10;-9;-9;-9;-9;-10;-10;
-10;-9;-8;-9;-9;-9;-9;-9;-8;-6;-5;-4;-3;-2;-3;-3;-2;
-2;-1;0;0;1;2;1;1;1;0;2;3;4;4;4;3;3;
3;4;5;5;6;7;7;9;9;10;10;11;13;14;13;13;13;
13;14;15;15;16;17;17;16;16;18;19;20;20;20;21;21;21;a+
-10;-8;-6;-4;-3;-3;-3;-3;-3;-4;-4;-2;-2;-2;-3;-4;-4;
-4;-3;-2;0;0;0;0;1;1;2;3;4;4;5;5;6;7;
7;9;9;9;10;10;10;10;9;10;11;11;12;12;13;11;11;
11;12;14;14;15;16;16;17;17;17;18;19;19;20;20;20;20;
20;20;21;21;22;21;21;20;20;20;21;23;24;24;25;26;26;a+
-19;-19;-19;-18;-18;-16;-16;-17;-17;-16;-15;-14;-13;-12;-11;-10;-10;
-10;-10;-10;-9;-9;-10;-10;-9;-9;-10;-10;-9;-9;-8;-8;-7;-8;
-8;-8;-7;-6;-5;-6;-6;-6;-7;-8;-7;-5;-4;-4;-3;-3;-2;
-2;-3;-3;-1;0;0;0;0;0;-1;-1;0;0;0;1;1;2;+

