58;1925-08-04;22:15;22:26;19:16;;;x;"Clear."
22:07;22.3;22.2;22.4;22.4
22:23;22.1;22.1;21.9;22.2
22:08;22:22;r
14;17;16;15;12;13;14;13;12;11;14;16;18;20;21;24;25;
25;26;24;23;21;24;24;25;23;22;20;18;16;13;11;10;14;
14;15;15;16;13;15;14;12;11;10;9;6;5;5;5;7;3;
3;-3;-2;-7;-10;-10;-8;-5;-4;-7;-8;-7;-9;-10;-10;-11;-12;
-12;-15;-17;-18;-17;-19;-20;-21;-22;-24;-23;-20;-18;-19;-20;-21;-22;a-i
18;20;20;16;15;19;20;18;14;14;15;14;11;8;9;9;9;
9;12;11;10;10;11;9;6;4;8;6;4;3;1;0;0;0;b
0;0;5;3;2;5;8;5;7;8;7;6;3;2;1;6;5;
5;5;5;8;10;10;8;4;1;4;5;4;5;0;0;3;1;i
1;0;0;-1;-2;-4;-3;-2;-1;0;0;0;0;0;-1;1;2;
2;1;4;1;-1;-3;0;2;5;7;10;10;10;10;10;8;6;
6;4;5;7;4;6;10;10;10;12;13;10;10;10;11;13;15;
15;16;16;13;11;10;10;10;9;6;4;4;1;1;0;-1;0;
0;-1;-9;-9;-10;-10;-10;-9;-11;-11;-14;-19;-18;-20;-22;-23;-21;
-21;-20;-20;-20;-20;-16;-15;-15;-14;-10;-10;-10;-8;-6;-5;-6;-4;
-4;-5;-9;-12;-14;-15;-16;-14;-10;-8;-7;-8;-6;-7;-9;-10;-10;
-10;-9;-5;-1;0;0;0;0;0;0;0;0;-1;0;0;-3;-2;i
-2;-1;0;3;1;0;1;0;0;-1;-2;-1;0;0;2;1;0;
0;0;0;3;1;4;7;7;7;6;6;5;2;1;1;0;-3;
-3;-6;-9;-11;-10;-10;-16;-20;-19;-17;-18;-20;-22;-24;-23;-25;-27;-

