42;1925-08-03;9:55;10:03;6:41;;;x;"Clear."
9:45;24.3;25.4;25.3;24.6
10:02;25;26;25.9;25.5
9:47;10:02
4;3;4;2;0;-2;-1;0;0;-1;-3;-4;-5;-6;-7;-5;-2;
-2;0;1;0;0;2;3;7;8;9;8;7;4;1;0;-1;0;
0;2;4;4;3;2;0;0;2;5;4;5;7;7;6;6;8;
8;8;9;9;8;7;7;6;5;6;8;8;8;6;5;4;5;
5;5;4;6;6;5;4;3;2;4;4;7;8;5;4;3;1;
1;2;1;2;0;0;-2;-3;-4;-2;-3;-2;-4;-5;-5;-4;-3;
-3;-2;-3;-3;-5;-6;-7;-6;-7;-4;-3;-2;-1;-1;-3;-5;-4;
-4;-3;-4;-4;-5;-6;-8;-7;-6;-4;-3;-2;-1;-4;-7;-8;-7;
-7;-7;-7;-7;-9;-10;-11;-10;-10;-10;-9;-8;-10;-12;-14;-13;-12;
-12;-11;-11;-10;-10;-10;-10;-9;-6;-4;-3;-4;-6;-8;-9;-10;-7;
-7;-6;-3;-2;-3;-6;-7;-7;-7;-6;-6;-5;-4;-6;-7;-7;-3;
-3;0;2;4;4;3;4;4;5;7;7;6;5;3;2;1;0;
0;0;0;0;0;-2;-3;-4;-4;-3;-3;-1;-1;-2;-3;-2;-3;
-3;-2;-1;0;1;0;0;0;3;5;5;4;3;1;-2;-1;1;
1;2;3;3;2;3;2;3;4;4;3;3;2;1;0;-1;0;
0;0;0;-1;0;0;0;-1;-1;0;1;2;1;0;0;0;0;
0;0;1;2;3;3;3;2;3;6;9;9;10;10;10;10;10;
10;11;13;12;12;10;10;9;10;11;13;14;14;14;13;13;13;
13;13;16;16;16;17;17;17;17;17;19;20;19;19;19;19;20;
20;21;22;24;26;27;25;24;26;28;30;30;30;30;29;29;30;


