59;1925-08-04;22:48;22:59;19:49;;;x;"Clear. Fringes straight and wide."
22:38;21.9;21.9;21.7;22
22:56;21.8;21.8;21.6;22.0
22:40;22:56
16;13;10;9;8;4;4;5;3;1;0;-2;-3;-1;0;6;9;b
9;10;10;11;12;11;9;9;6;5;0;-1;0;0;-4;-8;-10;
-10;-12;-11;-10;-11;-12;-15;-18;-20;-18;-19;-18;-19;-19;-17;-16;-16;
-16;-18;-17;-14;-12;-11;-12;-15;-14;-15;-16;-15;-17;-16;-15;-15;-15;
-15;-16;-20;-20;-20;-21;-21;-23;-26;-28;-30;-30;-30;-31;-32;-31;-31;a-
-13;-12;-12;-13;-12;-16;-19;-20;-20;-14;-13;-12;-14;-17;-17;-16;-16;b
-16;-18;-22;-23;-21;-24;-25;-27;-29;-30;-31;-32;-33;-34;-35;-35;-36;a-
15;12;12;10;9;10;10;9;8;6;6;5;9;8;7;9;8;
8;4;5;6;9;9;12;12;13;13;11;10;10;8;9;12;8;
14;15;16;20;20;20;21;23;26;28;25;25;24;26;27;25;23;a+
-12;-16;-18;-17;-18;-19;-20;-18;-19;-21;-23;-21;-20;-20;-23;-21;-22;a-
-18;-17;-14;-17;-19;-17;-16;-15;-18;-17;-16;-15;-17;-15;-15;-13;-11;
-11;-9;-10;-11;-12;-10;-9;-8;-9;-10;-10;-10;-9;-10;-10;-11;-11;
-11;-11;-13;-16;-16;-15;-15;-16;-16;-16;-15;-16;-17;-17;-14;-14;-15;
-15;-14;-12;-13;-14;-10;-10;-10;-11;-11;-11;-11;-11;-15;-17;-16;-15;
-15;-15;-16;-16;-14;-11;-11;-10;-10;-7;-9;-10;-11;-13;-12;-10;-10;
-10;-10;-10;-11;-10;-7;-4;-1;0;-2;-2;-1;2;4;4;5;5;
5;4;1;3;5;4;4;4;4;1;0;3;6;7;8;9;10;
10;10;12;11;13;14;17;19;17;18;19;20;22;20;17;14;15;
15;11;10;10;11;11;10;10;10;9;8;10;10;10;8;5;4;-+

