73;1925-08-06;12:08;12:16;9:12;;;x;"Clear."
11:57;24.6;25;24.9;24.8
12:17;25;25.3;25.4;25.3
12:00;12:16;s
-27;-28;-29;-30;-30;-31;-33;-36;-35;-36;-37;-37;-38;-38;-37;-35;-31;
-31;-30;-29;-29;-28;-27;-29;-29;-30;-30;-30;-29;-27;-26;-24;-22;-20;
-20;-20;-20;-20;-20;-19;-17;-16;-14;-13;-14;-16;-17;-16;-16;-15;-14;
-14;-15;-17;-15;-15;-14;-13;-10;-9;-7;-9;-8;-6;-6;-5;-6;-6;
-6;-6;-7;-8;-7;-8;-8;-6;-6;-5;-5;-4;-3;-2;-1;0;-3;
-3;-6;-7;-8;-8;-9;-7;-6;-5;-4;-3;-1;0;0;3;5;7;
7;7;6;4;1;0;0;3;3;6;7;6;6;7;9;9;10;
10;10;10;10;10;9;8;8;9;9;7;6;6;7;9;10;12;
12;14;15;16;17;16;15;16;16;16;15;14;13;13;15;17;19;a+
7;9;10;10;9;8;9;9;10;8;6;5;5;6;9;10;12;
12;13;13;12;10;10;9;8;8;8;9;10;10;12;12;16;18;
18;20;21;23;24;25;26;25;23;21;20;20;21;20;20;21;23;
23;24;25;25;27;29;29;30;32;33;31;30;30;30;30;30;30;a+
-20;-20;-23;-27;-28;-26;-20;-17;-17;-18;-21;-20;-20;-18;-15;-11;-10;b
-10;-10;-9;-10;-10;-9;-8;-7;-6;-6;-7;-7;-8;-7;-5;0;1;
1;3;2;2;3;4;5;6;10;11;13;13;13;13;15;17;18;
18;19;19;19;19;20;20;20;20;21;21;21;20;20;22;23;23;a+
-9;-10;-10;-11;-10;-8;-7;-6;-7;-9;-10;-10;-10;-10;-9;-8;-6;
-6;-3;-1;0;-2;-1;0;0;2;3;4;4;4;4;5;6;7;
7;6;5;5;5;5;7;8;8;10;10;10;10;10;10;12;12;+

