15;1927-08-08;19:52;19:25;16:33;9;10;x;""
19:32;25;24.6;24.6;25.1
20:01;24.35;24;23.95;24.3
19:43;20:01
12;12;12;12;12;12;12;11;11;11;10;9;8;8;8;8;7;
7;7;7;7;7;7;8;8;7;7;7;7;7;6;6;7;7;
7;7;7;7;7;7;8;8;8;8;8;7;7;7;7;7;7;
7;7;7;7;7;8;8;9;9;9;9;9;9;9;9;9;9;
9;10;10;10;10;9;9;9;10;10;9;9;9;9;8;8;9;
9;9;9;9;9;9;9;9;9;9;9;8;8;7;7;7;8;
8;8;8;8;8;8;9;10;10;10;10;10;9;9;9;9;9;
9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;
10;10;10;10;10;10;10;10;10;10;9;9;9;8;8;8;8;
8;9;9;8;7;7;7;7;7;8;8;8;8;8;9;9;10;
10;10;10;10;10;10;10;11;11;11;12;12;12;12;12;12;13;
13;13;13;13;12;12;12;12;12;12;11;11;11;10;10;10;10;
10;10;10;9;9;9;9;8;8;8;7;7;7;7;7;8;8;
8;8;9;9;9;9;9;9;10;10;11;11;11;11;11;12;12;
12;12;12;12;12;11;11;11;12;12;12;12;11;11;12;12;12;
12;12;13;13;13;13;13;14;14;15;15;15;15;15;16;16;16;
16;16;16;16;16;16;16;17;17;17;17;17;16;16;16;16;16;
16;16;16;15;15;15;15;14;14;14;14;13;13;12;12;12;12;
12;13;13;13;13;13;13;13;13;13;13;13;13;12;12;12;12;
12;13;13;13;13;13;14;14;15;15;15;15;15;15;16;16;16;

